,,2ª anterior,,,
TransactionTypeGroup,Produções,,,,
,,,,,
Sum Quantity,,,,,
AreaSapWorkCenter,OrderName,OrderOperationStatus,Total,,
CNMAGBL1,ACC.1600038951,Encerada,101.00,1600038951,
,ACC.1600046794,Encerada,406.00,1600046794,
,ACC.1600049011,Encerada,779.00,1600049011,
,ACC.1600050482,Encerada,52.00,1600050482,
,ACC.1600050483,Encerada,203.00,1600050483,
,ACC.1600050484,Encerada,400.00,1600050484,
,ACC.1600053032,Encerada,10.00,1600053032,
,ACC.1600053447,Encerada,102.00,1600053447,
,ACC.1600053448,Encerada,200.00,1600053448,
,ACC.1600053449,Encerada,400.00,1600053449,
,ACC.1600053450,Encerada,233.00,1600053450,
,ACC.1600053451,Encerada,432.00,1600053451,
,ACC.1600055396,Encerada,102.00,1600055396,
,ACC.1600055397,Encerada,206.00,1600055397,
,ACC.1600055461,Encerada,202.00,1600055461,
,ACC.1600055579,Encerada,389.00,1600055579,
,ACC.1600055580,Encerada,295.00,1600055580,
,ACC.1600055581,Encerada,300.00,1600055581,
,ACC.1600055907,Encerada,24.00,1600055907,
,ACC.1600055992,Encerada,252.00,1600055992,
,ACC.1600056975,Encerada,200.00,1600056975,
,ACC.1600057750,Encerada,304.00,1600057750,
,ACC.1600057751,Encerada,219.00,1600057751,
,ACC.1600057754,Encerada,200.00,1600057754,
,ACC.1600057756,Encerada,101.00,1600057756,
,ACC.1600058366,Encerada,10.00,1600058366,
,ACC.1600058421,Encerada,206.00,1600058421,
,ACC.1600059006,Encerada,232.00,1600059006,
,ACC.1600059322,Encerada,400.00,1600059322,
,ACC.1600059559,Encerada,546.00,1600059559,
,ACC.1600059620,Encerada,322.00,1600059620,
,ACC.1600059621,Encerada,269.00,1600059621,
,ACC.1600059757,Encerada,176.00,1600059757,
,ACC.1600060499,Encerada,355.00,1600060499,
,ACC.1600061956,Encerada,349.00,1600061956,
,ACC.1600061957,Encerada,302.00,1600061957,
,ACC.1600061959,Encerada,805.00,1600061959,
,ACC.1600062676,Encerada,254.00,1600062676,
,ACC.1600063750,Encerada,354.00,1600063750,
,ACC.1600064228,Encerada,102.00,1600064228,
,ACC.1600064231,Encerada,103.00,1600064231,
,ACC.1600064648,Encerada,512.00,1600064648,
,ACC.1600064649,Encerada,467.00,1600064649,
,ACC.1600064650,Encerada,559.00,1600064650,
,ACC.1600064651,Encerada,457.00,1600064651,
,ACC.1600065663,Encerada,303.00,1600065663,
,ACC.1600065664,Encerada,508.00,1600065664,
,ACC.1600065831,Encerada,604.00,1600065831,
,ACC.1600065851,Encerada,440.00,1600065851,
,ACC.1600066266,Encerada,11.00,1600066266,
