Ordem,Material,Denominação,Status,Kanban,Centro,Tipo de ordem,Texto breve,Ordem Venda / Transf,Item OV/Transf,Qtd.teórica,UM básica,Consumos Permitidos,Data modif.,Dt-base início,Data-base fim,Versão prod.,Operação,TxtDesc.Oper.,Status Op.,Centro trabalho,Cadência Máquina (h),Cadência Hora (h),Unid.ValStand.,Capacidade Alocada,Núm.partições,Componente,Denominação componente,Lote,Qtd. componente,UM componente,Co-produto,Reserva,Item reserva,Semana,Ano
1600074475,70003995,"PL CI 5085/000 1030X530X3,0 NE",ABER,,3801,ZRPL,CRM Placas,3820011287,10,4480,PL,TRUE,,5/20/2021,5/21/2021,1,10,Cortar Placas,,CNMSHT01,250,250,H,17.92,1,70003995,"PL CI 5085/000 1030X530X3,0 NE",,4480,PL,FALSE,13663566,1,20,2021
1600066568,70008884,"RL CC 8245/000 1000X0,8 NE",ABER,,3801,ZNRL,CNM ROLOS (LAM),,0,76.36,M,TRUE,,5/20/2021,5/21/2021,1,10,LAMINAR CILINDROS,,CNMLAMRL,240,240,H,0.318,1,70002808,CL CC 8245 1000X1100 NE,,0.074,CLD,FALSE,12214057,1,20,2021
1600052602,70001731,"PL CC 8061/000 915X610X3,0 01",LIB,,3801,ZNEP,CNM Embalagem Placas,3820008913,90,100,PL,TRUE,4/29/2021,5/7/2021,5/8/2021,1,10,EMBALAR EM BRANCOS,ZLIB,CNMEMBPL,1920,1920,H,0.052,1,90300519,ME PALETE HT 1280X950X131,,1,PAL,FALSE,10050541,3,18,2021
1600052602,70001731,"PL CC 8061/000 915X610X3,0 01",LIB,,3801,ZNEP,CNM Embalagem Placas,3820008913,90,100,PL,TRUE,4/29/2021,5/7/2021,5/8/2021,1,10,EMBALAR EM BRANCOS,ZLIB,CNMEMBPL,1920,1920,H,0.052,1,70005693,"PL CC 8061/000 915X610X3,0 NE",,100,PL,FALSE,10050541,4,18,2021
1600052602,70001731,"PL CC 8061/000 915X610X3,0 01",LIB,,3801,ZNEP,CNM Embalagem Placas,3820008913,90,100,PL,TRUE,4/29/2021,5/7/2021,5/8/2021,1,10,EMBALAR EM BRANCOS,ZLIB,CNMEMBPL,1920,1920,H,0.052,1,90300611,ME CX (H) 925X625X300/320 18783,,1,CX,FALSE,10050541,1,18,2021
1600052602,70001731,"PL CC 8061/000 915X610X3,0 01",LIB,,3801,ZNEP,CNM Embalagem Placas,3820008913,90,100,PL,TRUE,4/29/2021,5/7/2021,5/8/2021,1,10,EMBALAR EM BRANCOS,ZLIB,CNMEMBPL,1920,1920,H,0.052,1,90300486,"ME MANGA PP ABERTA 1 LADO 790MM 12,5MIC",,0.08,KG,FALSE,10050541,2,18,2021
1600052604,70002322,"PL CC 8061/000 915X610X4,0 03",LIB,,3801,ZNEP,CNM Embalagem Placas,3820008913,100,76,PL,TRUE,4/29/2021,5/7/2021,5/8/2021,1,10,EMBALAR EM BRANCOS,ZLIB,CNMEMBPL,1520,1520,H,0.05,1,90300611,ME CX (H) 925X625X300/320 18783,,1,CX,FALSE,10050560,1,18,2021
1600052604,70002322,"PL CC 8061/000 915X610X4,0 03",LIB,,3801,ZNEP,CNM Embalagem Placas,3820008913,100,76,PL,TRUE,4/29/2021,5/7/2021,5/8/2021,1,10,EMBALAR EM BRANCOS,ZLIB,CNMEMBPL,1520,1520,H,0.05,1,70005694,"PL CC 8061/000 915X610X4,0 NE",,76,PL,FALSE,10050560,3,18,2021
1600052604,70002322,"PL CC 8061/000 915X610X4,0 03",LIB,,3801,ZNEP,CNM Embalagem Placas,3820008913,100,76,PL,TRUE,4/29/2021,5/7/2021,5/8/2021,1,10,EMBALAR EM BRANCOS,ZLIB,CNMEMBPL,1520,1520,H,0.05,1,90300486,"ME MANGA PP ABERTA 1 LADO 790MM 12,5MIC",,0.12,KG,FALSE,10050560,2,18,2021
1600052606,70001734,"PL CC 8061/000 915X610X6,0 01",LIB,,3801,ZNEP,CNM Embalagem Placas,3820008913,110,52,PL,TRUE,4/29/2021,5/7/2021,5/8/2021,1,10,EMBALAR EM BRANCOS,ZLIB,CNMEMBPL,1040,1040,H,0.05,1,90300486,"ME MANGA PP ABERTA 1 LADO 790MM 12,5MIC",,0.12,KG,FALSE,10050542,2,18,2021
