Ordem,Material,Denominação,Status,Kanban,Centro,Tipo de ordem,Texto breve,Ordem Venda / Transf,Item OV/Transf,Qtd.teórica,UM básica,Consumos Permitidos,Data modif.,Dt-base início,Data-base fim,Versão prod.,Operação,TxtDesc.Oper.,Status Op.,Centro trabalho,Cadência Máquina (h),Cadência Hora (h),Unid.ValStand.,Capacidade Alocada,Núm.partições,Componente,Denominação componente,Lote,Qtd. componente,UM componente,Co-produto,Reserva,Item reserva,Semana,Planeador
1600062232,71000979,"JT CI 5351/CBK 100-O 3,5 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820010024,10,7875,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,26250,26250,H,0.3,1,71001897,"JT CI 5351/C01 100-O 3,5 NE",,7875,UN,FALSE,11396172,1,3,CCS
1600062232,71000979,"JT CI 5351/CBK 100-O 3,5 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820010024,10,7875,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,26250,26250,H,0.3,1,90301076,ME ETIQ ELRING 102X23,,315,UN,FALSE,11396172,4,3,CCS
1600062232,71000979,"JT CI 5351/CBK 100-O 3,5 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820010024,10,7875,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,26250,26250,H,0.3,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,2,PAL,FALSE,11396172,3,3,CCS
1600062232,71000979,"JT CI 5351/CBK 100-O 3,5 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820010024,10,7875,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,26250,26250,H,0.3,1,90300605,ME CX (+E) 1156X753X450 14151,,4,CX,FALSE,11396172,2,3,CCS
1600062296,71001555,"JT CI 5351/000 100-FT 3,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009855,10,5000,UN,TRUE,,1/31/2022,1/31/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,28750,28750,H,0.174,1,90301076,ME ETIQ ELRING 102X23,,200,UN,FALSE,11396211,3,5,CCS
1600062296,71001555,"JT CI 5351/000 100-FT 3,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009855,10,5000,UN,TRUE,,1/31/2022,1/31/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,28750,28750,H,0.174,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,1,PAL,FALSE,11396211,2,5,CCS
1600062296,71001555,"JT CI 5351/000 100-FT 3,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009855,10,5000,UN,TRUE,,1/31/2022,1/31/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,28750,28750,H,0.174,1,71001434,"JT CI 5351/000 100-FT 3,0 NE",,5000,UN,FALSE,11396211,4,5,CCS
1600062296,71001555,"JT CI 5351/000 100-FT 3,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009855,10,5000,UN,TRUE,,1/31/2022,1/31/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,28750,28750,H,0.174,1,90300605,ME CX (+E) 1156X753X450 14151,,2,CX,FALSE,11396211,1,5,CCS
1600062448,71004895,"JT CI 5351/000 124-F 1,65 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820010047,10,2000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,2000,1,71004894,"JT CI 5351/000 124-F 1,65 NE",,2000,UN,FALSE,11396324,1,3,CCS
1600062448,71004895,"JT CI 5351/000 124-F 1,65 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820010047,10,2000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,2000,1,90301076,ME ETIQ ELRING 102X23,,80,UN,FALSE,11396324,3,3,CCS
1600062448,71004895,"JT CI 5351/000 124-F 1,65 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820010047,10,2000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,2000,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,1,PAL,FALSE,11396324,2,3,CCS
1600062448,71004895,"JT CI 5351/000 124-F 1,65 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820010047,10,2000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,2000,1,90300605,ME CX (+E) 1156X753X450 14151,,1,CX,FALSE,11396324,4,3,CCS
