,semana,of,descricao material,descricao consumo,ct
0,16,1600048005,"PL CC 8403/000 915X610X6,0 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
1,16,1600048005,"PL CC 8403/000 915X610X6,0 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
2,16,1600048005,"PL CC 8403/000 915X610X6,0 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
3,19,1600072474,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X200 NE,CNMLAMPL
4,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
5,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
6,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
7,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
8,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
9,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
10,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
11,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
12,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
13,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
14,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
15,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
16,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
17,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
18,17,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",BL CC 8404/ORT 1035X535X210 NE,CNMLAMPL
19,17,1600070304,"PL CC 8405/000 770X568X0,8 NE",BL CC 8405/000 770X568X250 NE,CNMLAMPL
20,17,1600070304,"PL CC 8405/000 770X568X0,8 NE",BL CC 8405/000 770X568X250 NE,CNMLAMPL
21,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
22,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
23,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
24,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
25,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
26,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
27,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
28,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
29,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
30,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
31,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
32,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
33,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
34,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
35,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
36,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
37,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
38,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
39,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
40,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
41,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
42,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
43,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
44,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
45,17,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",BL CI 5404/ORT 915X610X200 NE,CNMLAMPL
46,18,1600052480,"PL CC 8003/000 915X610X25,0 NE",BL CC 8003/ORT 915X610X250 NE,CNMLAMPL
47,19,1600063533,"PL CC 8003/000 915X610X0,8 NE",BL CC 8003/ORT 915X610X250 NE,CNMLAMPL
48,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
49,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
50,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
51,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
52,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
53,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
54,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
55,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
56,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
57,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
58,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
59,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
60,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
61,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
62,18,1600052510,"PL CC 8026/000 1000X500X5,0 NE",BL CC 8026/ORT 1000X500X210 NE,CNMLAMPL
63,18,1600052603,"PL CC 8061/000 915X610X3,0 NE",BL CC 8061/ORT 915X610X200 NE,CNMLAMPL
64,18,1600052605,"PL CC 8061/000 915X610X4,0 NE",BL CC 8061/ORT 915X610X200 NE,CNMLAMPL
65,18,1600052607,"PL CC 8061/000 915X610X6,0 NE",BL CC 8061/ORT 915X610X200 NE,CNMLAMPL
66,18,1600045416,"PL CC 8402/000 915X610X12,0 01",ME PALETE HT 1280X950X131,CNMLAMPL
67,18,1600045416,"PL CC 8402/000 915X610X12,0 01",ME PALETE HT 1280X950X131,CNMLAMPL
68,18,1600043925,"PL CC 8402/000 915X610X2,6 NE",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
69,18,1600043925,"PL CC 8402/000 915X610X2,6 NE",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
70,18,1600043925,"PL CC 8402/000 915X610X2,6 NE",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
71,18,1600043925,"PL CC 8402/000 915X610X2,6 NE",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
72,18,1600043925,"PL CC 8402/000 915X610X2,6 NE",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
73,18,1600043925,"PL CC 8402/000 915X610X2,6 NE",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
74,18,1600043925,"PL CC 8402/000 915X610X2,6 NE",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
75,18,1600043925,"PL CC 8402/000 915X610X2,6 NE",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
76,18,1600043925,"PL CC 8402/000 915X610X2,6 NE",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
77,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
78,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
79,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
80,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
81,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
82,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
83,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
84,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
85,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
86,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
87,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
88,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
89,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
90,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
