Ordem,Material,Denominação,Status,Kanban,Centro,Tipo de ordem,Texto breve,Ordem Venda / Transf_x,Item OV/Transf_x,Qtd.teórica,UM básica,Consumos Permitidos,Data modif.,Dt-base início,Data-base fim,Versão prod.,Operação,TxtDesc.Oper.,Status Op.,Centro trabalho,Cadência Máquina (h),Cadência Hora (h),Unid.ValStand.,Capacidade Alocada,Núm.partições,Componente,Denominação componente,Lote,Qtd. componente,UM componente,Co-produto,Reserva,Item reserva,Semana,Ano,key_ordem,Ordem Venda / Transf_y,Planeador,Item OV/Transf_y,MATERIAL KEY,Planeador_y,Planeador,OrderName,OrderOperationStatus,Total,order_name,quantidade,quantidade precedencia,minutos
1600074362,70005845.0,BL CC 8003/ORT 940X640X250 NE,LIB,0.0,3801,ZNRT,CNM Retificadora,0.0,0,263.0,BL,True,5/13/2021,5/21/2021,5/22/2021,1,10,RECTIFICAR/ESQUADREJAR BLOCOS,ZLIB,CNMRETBL,46.0,46.0,H,5.717,1,70001618,BL CC 8003/000 940X640X250 NE,0.0,263.0,BL,False,13674627,1,20,2021,0.0,,nan,,,,CCS,ACC.1600074362,Definitiva,280.0,1600074362.0,-17.0,-17.0,-22.172395437262356
1600074382,70005511.0,BL CC 8512/ORT 915X610X200 NE,LIB,0.0,3801,ZNRT,CNM Retificadora,0.0,0,22.0,BL,True,5/13/2021,5/21/2021,5/22/2021,1,10,RECTIFICAR/ESQUADREJAR BLOCOS,ZLIB,CNMRETBL,46.0,46.0,H,0.478,1,70000605,BL CC 8512/000 950X650X200 NE,0.0,22.0,BL,False,13674647,1,20,2021,0.0,,nan,,,,CCS,ACC.1600074382,Definitiva,22.0,1600074382.0,0.0,0.0,0.0
1600074373,70005503.0,BL CC 8123/ORT 915X610X200 NE,LIB,0.0,3801,ZNRT,CNM Retificadora,0.0,0,14.0,BL,True,5/13/2021,5/21/2021,5/22/2021,1,10,RECTIFICAR/ESQUADREJAR BLOCOS,ZLIB,CNMRETBL,46.0,46.0,H,0.304,1,70000002,BL CC 8123/000 950X650X200 NE,0.0,14.0,BL,False,13674638,1,20,2021,0.0,,nan,,,,CCS,ACC.1600074373,Definitiva,14.0,1600074373.0,0.0,0.0,0.0
1600072165,70012027.0,BL CC 8405/ORT 900X600X250 NE,LIB,0.0,3801,ZNRT,CNM Retificadora,0.0,0,17.0,BL,True,5/6/2021,5/14/2021,5/15/2021,1,10,RECTIFICAR/ESQUADREJAR BLOCOS,ZLIB,CNMRETBL,46.0,46.0,H,0.37,1,70001631,BL CC 8405/000 940X640X250 NE,0.0,17.0,BL,False,13292915,1,19,2021,0.0,,nan,,,,CCS,ACC.1600072165,Definitiva,16.0,1600072165.0,1.0,1.0,1.3058823529411763
1600074250,70005536.0,BL CC 8457/ORT 920X615X200 NE,LIB,0.0,3801,ZNRT,CNM Retificadora,0.0,0,80.0,BL,False,5/13/2021,5/21/2021,5/22/2021,1,10,RECTIFICAR/ESQUADREJAR BLOCOS,ZLIB,CNMRETBL,46.0,46.0,H,1.739,1,70003793,BL CC 8457/000 950x650X200 NE,0.0,80.0,BL,False,13651934,1,20,2021,0.0,,nan,,,,CCS,ACC.1600074250,Definitiva,80.0,1600074250.0,0.0,0.0,0.0
1600072159,70005853.0,BL CC 8872/ORT 940X640X250 NE,LIB,0.0,3801,ZNRT,CNM Retificadora,0.0,0,241.0,BL,True,5/6/2021,5/14/2021,5/15/2021,1,10,RECTIFICAR/ESQUADREJAR BLOCOS,ZLIB,CNMRETBL,46.0,46.0,H,5.239,1,70003937,BL CC 8872/000 940X640X250 NE,0.0,241.0,BL,False,13292909,1,19,2021,0.0,,nan,,,,CCS,ACC.1600072159,Definitiva,240.0,1600072159.0,1.0,1.0,1.3043153526970954
1600066480,70002677.0,PL CC 8405/S21 940X640X100 NE,LIB,0.0,3801,ZNPL,CNM PLACAS (LAM/SER/LIX),0.0,0,268.0,PL,True,5/6/2021,5/14/2021,5/14/2021,1,10,LIXAR EM BRANCOS,ZLIB,CNMLAMLX,100.0,50.0,H,2.68,1,70010838,PL CC 8405/000 950X650X102 NE,0.0,268.0,PL,False,12220645,1,19,2021,0.0,,nan,,,,CCS,ACC.1600066480,Definitiva,280.0,1600066480.0,-12.0,-12.0,-7.199999999999999
1600023189,70003941.0,"PL CC 8872/S21 940X640X75,0 CV",LIB,0.0,3801,ZNPE,CNM Placas (c/ EMBL),3820005227.0,200,700.0,PL,True,5/6/2021,5/14/2021,5/14/2021,1,10,"LIXAR EM 75,0 MM + EMBALAR",ZLIB,CNMLAMLX,80.0,40.0,H,8.75,1,70005968,"PL CC 8872/000 940X640X77,0 NE",0.0,700.0,PL,False,6068999,2,19,2021,3820005427.0,,nan,,,,Ext,ACC.1600023189,Definitiva,700.0,1600023189.0,0.0,0.0,0.0
1600074893,70005968.0,"PL CC 8872/000 940X640X77,0 NE",LIB,0.0,3801,ZNPL,CNM PLACAS (LAM/SER/LIX),3820005227.0,200,90.0,PL,True,5/14/2021,5/14/2021,5/15/2021,1,10,SERRAR EM BRANCOS,ZLIB,CNMSERPL,55.0,55.0,H,1.636,1,70005853,BL CC 8872/ORT 940X640X250 NE,0.0,30.901,BL,False,13740648,1,19,2021,3820005427.0,,nan,,,,Ext,ACC.1600074893,Definitiva,90.0,1600074893.0,0.0,0.0,0.0
1600023324,70011694.0,"PL CC 8003/000 940X640X91,0 NE",LIB,0.0,3801,ZNPL,CNM PLACAS (LAM/SER/LIX),3820005229.0,50,500.0,PL,True,5/13/2021,5/20/2021,5/21/2021,1,10,"SERRAR EM 91,0 MM",ZLIB,CNMSERPL,55.0,55.0,H,9.091,1,70005845,BL CC 8003/ORT 940X640X250 NE,0.0,258.25,BL,False,6084785,1,20,2021,3820005279.0,,nan,,,,Ext,ACC.1600023324,Definitiva,516.0,1600023324.0,-16.0,-8.264,-17.454720000000002
