,MaterialKey,Total
0,32000004,0.0
1,32000005,0.0
2,33000002,0.0
3,33000005,46281.0
4,33000008,0.0
5,33000017,16.0
6,33000018,20977.0
7,33000038,0.0
8,33000039,4379.0
9,33000046,360.0
10,33000049,350.0
11,33000053,0.0
12,33000054,12443.0
13,33000057,10627.0
14,33000073,0.0
15,33000076,0.0
16,33000092,0.0
17,33000225,11927.0
18,33000227,109.0
19,33000228,3821.0
20,33000229,4972.0
21,33000238,4763.0
22,33000239,16276.0
23,33000242,18222.0
24,33000243,11400.0
25,33000244,6278.0
26,33000245,59.0
27,33000246,53518.0
28,33000247,1200.0
29,33000248,1000.0
30,33000249,1215.0
31,33000250,2778.0
32,33000251,26008.0
33,33000252,1500.0
34,33000254,0.0
35,33000283,24272.0
36,33000284,26377.0
37,33000293,92526.0
38,40000001,0.0
39,40000006,0.0
40,40000012,0.0
41,40000015,78.0
42,40000016,1343.0
43,40000017,0.0
44,40000018,56892.0
45,40000020,1.0
46,40000047,100.0
47,40000057,0.0
48,40000067,0.0
49,41000146,21454.0
50,41000148,9076.0
51,41000157,9839.0
52,41000158,2800.0
53,41000159,0.0
54,41000166,0.0
55,41000175,0.0
56,41000176,730.0
57,41000182,2.0
58,41000184,51803.0
59,41000255,60674.0
60,41000257,3420.0
61,41000262,9901.0
62,41000265,1479.0
63,41000266,50055.0
64,41000267,1.0
65,41000269,9352.0
66,41000272,1790.0
67,41000275,0.0
68,41000285,605.0
69,41000286,306.0
70,41000287,0.0
71,41000288,0.0
72,41000289,5792.0
73,41000290,0.0
74,41000292,35060.0
75,41000293,690.0
76,41000294,12823.0
77,41000297,6742.0
78,41000298,739.0
79,41000301,0.0
80,41000303,40833.0
81,41000304,22211.0
82,41000305,23667.0
83,41000306,57492.0
84,41000307,6314.0
85,41000308,3913.0
86,41000309,9222.0
87,41000310,9670.0
88,41000311,0.0
89,41000312,8419.0
90,41000313,13588.0
91,41000314,21056.0
92,41000315,12239.0
93,41000316,116.0
94,41000317,0.0
95,41000318,157.0
96,41000319,205.0
97,41000320,5550.0
98,41000321,52193.0
99,41000322,11990.0
100,41000323,9709.0
101,41000324,921.0
102,41000325,11847.0
103,41000328,5541.0
104,41000329,582.0
105,41000330,1789.0
106,41000331,147497.0
107,41000333,30904.0
108,41000334,0.0
109,41000336,0.0
110,41000337,0.0
111,41000338,9556.0
112,41000339,30278.0
113,41000340,197.0
114,41000342,2495.0
115,41000343,42972.0
116,41000344,5029.0
117,41000345,5539.0
118,41000346,0.0
119,41000347,9258.0
120,41000348,28.0
121,41000349,1445.0
122,41000352,926.0
123,41000353,3241.0
124,41000354,3259.0
125,41000355,391.0
126,41000356,2785.0
127,41000357,0.0
128,41000358,0.0
129,41000359,0.0
130,41000361,1224.0
131,41000363,0.0
132,41000364,0.0
133,41000365,400.0
134,41000366,29367.0
135,41000368,2720.0
136,41000370,0.0
137,41000372,99061.0
138,41000375,0.0
139,41000376,5741.0
140,41000377,0.0
141,41000378,3952.0
142,41000379,0.0
143,41000380,0.0
144,41000381,20650.0
145,41000382,0.0
146,41000383,0.0
147,41000385,0.0
148,41000386,1650.0
149,41000389,0.0
150,41000390,0.0
151,41000391,3550.0
152,41000394,2350.0
153,41000396,0.0
154,41000397,650.0
155,41000398,0.0
156,41000399,0.0
157,41000400,0.0
158,41000402,0.0
159,41000403,0.0
160,41000404,0.0
161,41000405,0.0
162,41000406,4500.0
163,41000407,2000.0
164,41000408,630.0
165,41000409,2000.0
166,41000410,25.0
167,41000411,0.0
168,41000412,80.0
169,41000414,0.0
170,41000417,0.0
171,41000418,0.0
172,41000419,6200.0
173,41000420,3000.0
174,41000421,0.0
175,41000422,0.0
176,41000423,14400.0
177,41000425,0.0
178,41000426,0.0
179,41000427,0.0
180,41000428,0.0
181,41000429,0.0
182,41000430,29525.0
183,41000431,0.0
184,41000433,0.0
185,41000435,0.0
186,41000436,0.0
187,41000439,0.0
188,41000440,0.0
189,41000441,0.0
190,41000442,0.0
191,41000443,0.0
192,41000445,400.0
193,41000447,0.0
194,41000452,3999.0
195,41000453,5000.0
196,41000454,31076.0
197,41000455,0.0
198,41000456,4398.0
199,41000457,0.0
200,41000458,0.0
201,41000460,0.0
202,41000465,0.0
203,41000468,1200.0
204,41000469,0.0
205,41000470,1700.0
206,41000471,350.0
207,41000472,2400.0
208,41000473,0.0
209,41000474,13080.0
210,41000475,108240.0
211,41000476,0.0
212,41000477,0.0
213,41000478,1.0
214,41000479,0.0
215,41000480,5500.0
216,41000484,0.0
217,41000485,0.0
218,41000486,0.0
219,41000488,0.0
220,41000489,7.0
221,41000490,0.0
222,41000491,0.0
223,41000492,0.0
224,41000493,16597.0
225,41000495,0.0
226,41000496,0.0
227,41000497,12149.0
228,41000498,0.0
229,41000499,8970.0
230,41000500,0.0
231,41000501,5360.0
232,41000503,0.0
233,41000504,0.0
234,41000505,5399.0
235,41000506,40859.0
236,41000508,363.0
237,41000509,0.0
238,41000510,0.0
239,41000512,0.0
240,41000514,82.0
241,41000515,9713.0
242,41000517,1015.0
243,41000518,11057.0
244,41000519,0.0
245,41000520,0.0
246,41000521,0.0
247,41000522,6000.0
248,41000524,0.0
249,41000525,0.0
250,41000526,0.0
251,41000527,330.0
252,41000528,0.0
253,41000529,17282.0
254,41000530,0.0
255,41000531,19670.0
256,41000532,8440.0
257,41000533,4194.0
258,41000534,7491.0
259,41000535,0.0
260,41000537,0.0
261,41000539,13278.0
262,41000540,0.0
263,41000542,0.0
264,41000543,36529.0
265,41000547,0.0
266,41000549,0.0
267,41000550,0.0
268,41000551,0.0
269,41000554,0.0
270,41000555,0.0
271,41000558,0.0
272,41000563,0.0
273,41000564,0.0
274,41000565,0.0
275,41000566,0.0
276,41000568,0.0
277,41000571,0.0
278,41000573,0.0
279,41000578,0.0
280,41000581,0.0
281,41000587,77599.0
282,41000596,0.0
283,41000601,0.0
284,41000603,0.0
285,41000610,0.0
286,41000611,12282.0
287,41000612,0.0
288,41000616,7336.0
289,41000620,545.0
290,41000621,3703.0
291,41000625,0.0
292,41000629,50.0
293,41000630,10071.0
294,41000633,4124.0
295,41000634,0.0
296,41000635,20185.0
297,41000636,0.0
298,41000645,0.0
299,41000665,0.0
300,41000666,0.0
301,41000685,0.0
302,41000689,0.0
303,41000705,0.0
304,41000706,0.0
305,41000725,0.0
306,41000734,0.0
307,41000744,0.0
308,41000754,0.0
309,41000756,0.0
310,41000764,0.0
311,41000765,0.0
312,41000784,0.0
313,41000804,0.0
314,41000814,0.0
315,41000815,0.0
316,41000824,0.0
317,41000825,0.0
318,41000828,0.0
319,41000853,0.0
320,41000855,0.0
321,41000879,0.0
322,41000880,0.0
323,41000881,11058.0
324,41000895,0.0
325,41000897,75.0
326,41000898,8129.0
327,42000001,1369.0
328,42000002,2927.0
329,42000003,0.0
330,42000004,22900.0
331,42000006,7836.0
332,42000007,1393.0
333,42000008,2970.0
334,42000010,994.0
335,42000011,42.0
336,42000014,977.0
337,42000015,1005.0
338,42000016,285.0
339,42000017,6411.0
340,42000019,5650.0
341,42000020,450.0
342,42000021,25274.0
343,42000024,36.0
344,42000025,4202.0
345,42000026,60110.0
346,42000028,21961.0
347,42000029,3740.0
348,42000030,13762.0
349,42000031,616.0
350,42000032,765.0
351,42000033,1990.0
352,42000034,0.0
353,42000035,20728.0
354,42000036,1388.0
355,42000040,0.0
356,42000041,4.0
357,42000042,1668.0
358,42000065,0.0
359,42000138,14128.0
360,42000139,6.0
361,42000166,22502.0
362,42000167,35713.0
363,42000173,29.0
364,42000203,20029.0
365,43000001,5178.0
366,43000002,11026.0
367,43000003,839.0
368,43000004,94162.0
369,43000005,2836.0
370,43000006,191683.0
371,43000007,2222.0
372,43000008,0.0
373,43000009,177.0
374,43000010,33549.0
375,43000011,0.0
376,45000001,0.0
377,45000002,1.0
378,45000003,0.0
379,45000004,3493.0
380,45000005,10594.0
381,45000006,92287.0
382,45000007,11690.0
383,45000008,4082.0
384,45000009,0.0
385,45000044,17.0
386,46000006,14.0
387,46000007,0.0
388,46000008,90.0
389,46000011,0.0
390,46000013,73.0
391,46000014,0.0
392,46000015,0.0
393,46000016,65.0
394,46000017,0.0
395,46000018,23.0
396,46000022,0.0
397,46000023,0.0
398,46000024,0.0
399,46000025,0.0
400,46000026,101.0
401,46000029,36.0
402,46000030,0.0
403,46000031,0.0
404,46000032,233.0
405,46000033,86.0
406,46000036,0.0
407,46000037,53.0
408,46000044,0.0
409,46000045,0.0
410,46000046,60.0
411,46000052,0.0
412,46000053,0.0
413,46000054,0.0
414,46000055,22.0
415,46000060,0.0
416,46000061,8.0
417,46000062,164.0
418,46000063,0.0
419,46000064,0.0
420,46000065,193.0
421,46000080,0.0
422,46000081,0.0
423,46000082,71.0
424,46000085,0.0
425,46000086,0.0
426,46000089,0.0
427,46000090,0.0
428,46000091,0.0
429,46000092,0.0
430,46000095,0.0
431,46000096,0.0
432,46000099,0.0
433,46000100,0.0
434,46000103,0.0
435,46000104,2.0
436,46000105,0.0
437,46000106,0.0
438,46000107,0.0
439,46000108,19.0
440,46000109,0.0
441,46000110,625.0
442,46000111,3.0
443,46000112,0.0
444,46000113,8.0
445,46000117,7.0
446,46000118,7.0
447,46000119,2.0
448,46000120,0.0
449,46000122,7.0
450,46000127,4.0
451,46000130,4.0
452,46000133,0.0
453,46000135,1.0
454,46000136,2.0
455,46000141,0.0
456,46000143,0.0
457,46000144,0.0
458,46000148,0.0
459,46000149,0.0
460,46000152,0.0
461,46000153,6.0
462,46000156,0.0
463,46000157,0.0
464,46000158,0.0
465,46000160,2.0
466,46000161,0.0
467,46000163,25.0
468,46000164,51.0
469,46000166,11.0
470,46000167,0.0
471,46000169,6.0
472,46000170,0.0
473,46000172,1.0
474,46000173,160.0
475,46000177,0.0
476,46000179,16.0
477,46000181,0.0
478,46000182,10.0
479,46000183,0.0
480,46000184,0.0
481,46000187,0.0
482,46000188,0.0
483,46000189,37.0
484,46000190,0.0
485,46000191,11.0
486,46000197,0.0
487,46000198,54.0
488,46000199,0.0
489,46000200,29.0
490,46000201,0.0
491,46000202,3.0
492,46000203,0.0
493,46000204,0.0
494,46000205,34.0
495,46000206,0.0
496,46000207,29.0
497,46000209,47.0
498,46000210,0.0
499,46000211,18.0
500,46000212,0.0
501,46000213,9.0
502,46000214,0.0
503,46000215,13.0
504,46000216,0.0
505,46000217,15.0
506,46000218,0.0
507,46000219,153.0
508,46000220,0.0
509,46000221,65.0
510,46000222,0.0
511,46000223,65.0
512,46000228,0.0
513,46000229,2.0
514,46000230,0.0
515,46000231,2.0
516,46000232,0.0
517,46000233,89.0
518,46000234,0.0
519,46000235,14.0
520,46000236,0.0
521,46000237,29.0
522,46000239,10.0
523,46000240,0.0
524,46000241,0.0
525,46000242,18.0
526,46000244,33.0
527,46000250,0.0
528,46000251,0.0
529,46000252,22.0
530,46000258,0.0
531,46000259,4.0
532,46000264,0.0
533,46000265,9.0
534,46000266,0.0
535,46000267,5.0
536,46000268,0.0
537,46000269,0.0
538,46000270,715.0
539,46000279,0.0
540,46000280,22.0
541,46000281,0.0
542,46000282,0.0
543,46000283,0.0
544,46000284,0.0
545,46000285,4.0
546,46000290,0.0
547,46000291,0.0
548,46000292,64.0
549,46000293,0.0
550,46000294,82.0
551,46000296,0.0
552,46000299,0.0
553,46000301,21.0
554,46000305,8.0
555,46000306,0.0
556,46000308,21.0
557,46000309,0.0
558,46000310,5.0
559,46000311,0.0
560,46000313,0.0
561,46000316,4.0
562,46000317,0.0
563,46000319,2.0
564,46000320,0.0
565,46000321,8.0
566,46000324,3.0
567,46000325,81.0
568,46000327,1.0
569,46000328,18.0
570,46000329,2.0
571,46000330,0.0
572,46000331,41.0
